"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"accidents";"frequency";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
1;919284,98;623372,387569;31143,437176;264769,16;5202,60059518;2139,00737621;63;3;38;58;8;13;1;11;4;1;1;3;135;6;1;1;1;1
2;1410674,2;83628,7598621;248543,286141;1078502,15;17240,6807555;9011,06971748;318;4;86;307;8;6;2;4;14;10;25;5;745;1;11;1;1;6
3;530880,45;55792,8540535;225935,315527;249152,28;13139,9206503;5401,94735935;373;1;49;302;4;4;1;2;11;13;48;2;454;1;12;3;1;4
4;572472,5;53237,4497122;173137,838897;346097,21;9507,95345792;1821,68977577;130;3;22;189;7;6;1;5;7;5;10;6;334;3;5;1;2;3
5;258509,5;38391,159417;113771,810744;106346,53;6061,24582822;2385,48601801;394;2;18;139;2;2;2;8;6;16;14;1;238;2;11;1;4;2
6;407241,44;53555,4900561;212427,503758;141258,45;14441,3984513;2775,28698287;5124;1;36;551;2;14;12;1;4;15;7;2;603;5;15;1;2;3
7;777402,53;160975,548472;296977,833008;319449,15;21256,9615307;9176,17263466;1262;3;71;666;1;3;15;8;37;25;19;1;1140;4;7;2;1;28
8;637635,3;125195,855224;348737,647198;163701,8;15356,0871199;2660,88098112;455;1;9;350;7;2;1;1;4;22;7;1;350;4;10;1;4;7
9;527808,62;96105,8487941;297458,347552;134244,42;11079,1459395;2854,33499864;509;2;11;205;6;1;20;5;9;4;1;2;224;11;3;2;1;13
10;1079769,36;360712,142765;297752,28526;421304,93;26987,6413325;7372,20243196;840;1;62;717;5;1;2;4;10;59;3;1;1084;4;15;2;1;19
11;814456,42;274950,115575;212774,907342;326731,4;17516,8161781;3730,55265799;624;4;48;442;7;3;7;8;12;1;1;1;470;1;7;1;1;7
12;647692,03;87223,3819376;286321,733075;274146,91;18711,7557309;4360,41145779;668;1;24;403;10;2;12;7;22;6;2;1;627;2;12;4;1;15
13;850717,96;123987,752699;281304,362744;445425,84;17688,720071;6248,75605996;358;4;64;367;1;2;2;2;15;101;1;4;897;1;23;1;1;11
14;1354311,84;321467,759285;341032,312216;691811,77;23142,6289965;6811,45731969;234;4;49;464;7;2;1;12;17;59;2;4;972;1;12;2;1;5
15;28327027,57;8958496,0376;2787194,35687;16581337,18;105143,890479;19300,978603;691;4;25;787;6;5;1;12;12;19;4;6;1968;2;3;1;2;5
16;6708112,49;415221,578704;1078965,26992;5213925,64;90534,4494912;19997,2458763;964;3;69;1079;5;1;1;3;38;9;1;2;2245;1;6;3;1;23
17;294012;6457,94588552;134982,742685;152571,31;6183,31411391;2778,94673736;251;5;20;112;4;1;2;4;5;24;4;1;258;4;9;4;1;4
18;419764,62;19701,6083252;207723,055329;192339,96;10011,6237715;4013,8321976;353;2;25;219;9;3;2;8;10;36;1;2;410;1;11;1;1;3
19;346853,42;27743,1381415;152576,895933;166533,39;8133,76421376;2920,88669993;233;6;17;186;8;5;2;6;5;60;14;1;277;2;6;1;1;5
20;2338039,05;308980,023671;32108,2051763;1996950,82;8640,07359546;8208,25543712;19;5;19;35;2;1;2;6;2;1;1;3;312;2;10;2;1;1
21;1015145,91;59740,7205454;151194,058746;804211,13;27324,9175048;6541,01163792;500;2;32;644;9;1;1;4;8;207;1;3;926;4;21;1;1;4
22;2809287,96;549430,002355;281663,69874;1978194,26;45769,3409066;16199,2331435;866;3;119;1114;11;1;10;4;20;125;1;2;1863;2;12;2;1;4
23;1412267,79;93661,1074774;207765,566024;1110841,12;30302,8142492;7613,92678178;357;2;50;717;2;4;2;1;17;18;6;5;1074;3;2;3;1;3
24;2421380,16;257262,788392;74784,1425556;2089333,23;25899,7707783;11587,655958;102;1;36;311;7;4;2;4;2;150;7;1;573;10;15;3;1;9
25;1770498,79;193272,081695;284626,083674;1292600,62;36692,2759134;9184,5827577;759;6;87;878;5;2;1;4;37;33;1;1;1820;1;18;1;1;3
26;1116975,87;76968,7444698;195228,404201;844778,72;22030,2390214;9808,27702633;374;3;46;502;6;2;5;1;20;78;2;0;1085;4;5;1;1;10
