"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"accidents";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
1;275400,78;10967,2141292;29118,5190992;235315,05;5772,09451184;1891,7256332;90;1;12;106;3;1;1;1;7;47;1;1;296;2;2;1;1;1
2;519270,94;33968,0911579;74196,7148968;411106,13;12157,4525354;2557,47051249;145;1;39;310;3;1;1;1;9;41;1;1;694;4;5;2;1;2
3;215541,23;4194,81845679;40321,2422044;171025,17;4048,07127569;1729,84792049;84;2;6;75;1;1;1;2;4;8;1;1;199;6;5;1;1;1
4;258378,61;22879,9158816;41526,8780635;193971,82;3996,55111413;1831,758425;82;2;7;97;3;13;1;1;6;25;2;1;211;1;1;2;3;2
5;240840,53;9024,5107256;38176,8653698;193639,15;5090,16888492;2593,21153922;51;1;18;121;4;1;1;1;3;24;1;1;214;4;5;1;1;1
6;402191,88;40845,3446268;75203,418563;286143,12;8895,32852858;3653,34264064;157;2;15;209;2;1;1;2;7;68;1;3;461;4;7;1;1;3
7;481699,96;19027,3827926;77677,2583358;384995,32;12171,9686869;1955,02476373;95;1;14;279;1;4;3;1;3;18;3;1;428;1;5;1;1;3
8;118024,58;6973,14120129;36674,0932943;74377,35;1743,5683617;836,946458003;27;3;2;19;1;1;2;1;3;7;2;1;104;1;1;1;1;1
9;352074,73;23576,5672976;65942,7764452;262555,39;8480,03421399;797,740807758;35;1;9;194;1;2;1;3;2;16;1;1;462;1;1;1;1;2
10;647453,38;274568,812705;62638,5077729;310246,06;6916,81404148;2365,8520635;90;1;12;188;4;1;3;1;1;28;4;1;256;1;3;1;1;1
11;584748,6;136791,316649;49277,078766;398680,2;9293,71141076;2474,81458662;112;2;6;231;1;1;1;2;5;19;1;3;399;2;3;1;2;1
12;321465,69;12301,0348909;46694,3475128;262470,31;6802,54872399;1650,85865725;87;2;27;168;2;2;1;1;4;18;1;1;340;2;5;1;1;2
13;373616,38;14746,1241039;59439,1981944;299431,06;10504,7276473;2318,3891362;135;1;19;293;1;1;5;2;6;15;9;1;463;3;1;1;1;4
14;308660,42;13773,3525357;66803,3981057;228083,67;7011,49983295;1645,18879365;159;1;14;172;1;1;5;1;1;47;3;1;247;1;1;1;1;1
15;321183,53;14753,6069008;64765,4430094;241664,48;5298,58766688;2551,8111597;103;1;20;80;1;1;2;1;7;5;3;1;310;1;8;2;1;1
16;301816,49;14394,5796726;79032,3875098;208389,52;3626,93153417;2429,27787303;108;1;74;47;2;1;1;5;4;10;3;1;375;2;7;1;1;4
17;344742,04;8013,00709275;76643,3583495;260085,67;7499,79072403;4412,13187349;127;1;69;187;2;1;2;2;2;5;7;1;362;1;1;1;1;2
18;306389,55;5994,77364943;65832,0294841;234562,75;7578,77491776;3282,79637814;206;2;20;247;1;1;2;1;4;1;12;2;394;6;2;1;1;3
19;304255,58;26434,4112163;10905,3317189;266915,84;3700,40374598;3034,93535836;77;1;8;38;1;1;4;1;5;10;8;1;263;2;1;2;1;2
20;316613,76;42260,6324487;10259,3893117;264093,74;3254,91072168;1800,89201662;60;1;27;31;3;6;1;2;1;2;5;2;272;5;3;1;1;1
21;86935,48;723,079257564;10758,6865734;75453,71;2000,53311423;918,604542383;177;1;10;35;1;7;3;1;1;6;2;2;132;2;2;1;1;2
22;184910,81;5162,03786102;38962,0336738;140786,74;3407,25459878;1746,38181308;121;1;7;52;1;1;1;1;8;1;1;2;205;1;3;1;1;2
23;263681,38;17438,3540639;54209,151565;192033,87;3941,64943497;1397,87064921;95;3;44;58;1;2;16;1;3;2;2;2;186;1;3;1;1;1
24;177402,16;35927,6606794;16592,5760647;124881,92;3877,92946398;762,219979405;112;1;6;58;3;2;1;1;6;47;1;1;109;3;1;1;1;3
25;181682,85;10490,4797671;28106,1224392;143086,25;3301,20808272;1034,18491643;86;1;30;49;1;1;1;5;9;3;1;1;161;1;4;2;1;1
26;340423,42;16827,7963246;54332,234608;269263,39;6378,8270364;3882,65749453;200;1;9;115;1;1;5;1;6;19;5;1;328;2;2;1;1;3
27;416522,87;7024,1888698;12285,5664332;397213,11;8749,31749189;1248,88055584;393;1;9;106;1;1;2;1;3;17;3;1;264;2;1;1;1;1
28;116462,61;3108,53399689;18113,5686473;95240,51;2878,1551447;1501,36129782;99;2;6;72;6;1;2;2;7;32;2;1;144;1;1;3;1;2
29;645532,13;52325,7122821;121178,913458;472027,5;4903,57426091;2097,49293797;101;1;20;45;3;2;2;1;7;21;1;1;413;3;6;1;1;1
30;121298,29;10097,2771058;21728,2121843;89472,8;2014,11327759;1379,1757238;2;1;17;39;7;2;1;2;3;5;4;1;90;2;2;1;1;4
31;373538,08;27892,3579855;84465,75989;261179,96;8869,17297642;2713,44778761;48;1;6;262;6;1;2;3;1;4;7;1;384;2;1;1;1;1
32;480279,62;43839,9123342;81338,7244949;355100,98;11849,4156864;4019,96545303;59;1;21;279;6;1;1;1;2;13;1;1;719;2;2;1;2;2
33;82938,63;1288,35209295;17410,0297171;64240,25;3478,44350743;1640,5953852;34;1;2;111;1;1;2;3;1;1;1;1;218;2;7;1;1;2
34;231630,71;15449,5332131;60986,4201874;155194,76;6519,98055471;1053,98522231;26;1;11;201;3;1;1;5;1;3;5;1;265;9;4;1;1;6
35;256124,33;23778,4581788;59061,9256638;173283,95;6593,58160557;1801,89622601;26;1;28;177;1;1;1;4;1;5;2;1;367;1;8;1;1;4
36;139972,32;22998,4917139;67903,0825003;49070,75;2793,89188963;289,739390252;179;1;8;44;1;1;2;3;1;2;1;1;86;5;8;1;1;3
37;106392,8;7301,25742645;58356,95737;40734,59;1789,35764467;109,436961446;141;1;17;23;1;2;3;10;4;6;1;1;40;3;6;1;1;2
38;121375,29;10820,5030038;68344,9248684;42209,86;2636,02529001;263,15755807;154;1;7;65;1;4;1;1;4;1;7;2;65;8;2;1;1;4
39;84538,46;4055,85838249;47534,5984796;32948;2494,31472244;950,429052549;182;3;15;63;1;1;4;1;2;1;2;1;42;3;6;1;1;1
40;227546,08;5325,25832999;116491,408202;105729,41;5218,5893098;1802,85394897;309;4;6;106;1;1;7;1;3;1;3;1;208;1;2;2;1;4
41;123948,28;16863,2463411;53945,7098922;53139,32;2760,85307537;430,886889052;82;1;15;68;2;2;1;1;2;3;1;2;95;1;1;1;0;2
42;127531,7;3625,85114653;68977,479142;54928,37;2113,15229544;979,314412667;96;1;2;35;2;3;1;1;1;2;4;1;64;1;14;1;0;7
43;156490,29;9675,15553275;83013,3419033;63801,79;3771,03393929;1148,89250027;156;1;16;84;2;1;2;1;2;4;2;1;126;3;2;2;0;3
44;167091,49;29009,389578;73358,2371958;64723,86;3281,68596955;96,597125893;51;2;18;80;1;1;1;1;2;2;1;1;103;1;1;1;0;1
45;121457,35;3897,79958068;57796,6169044;59762,93;3249,22930744;260,607348374;88;1;12;92;1;2;1;1;19;1;4;2;95;2;4;1;0;5
46;102291,31;4355,98182122;53201,0900439;44734,24;2288,44375615;377,140080204;24;1;13;55;3;4;1;4;2;1;1;2;81;1;3;1;0;2
47;89399,11;5157,24804412;38036,6170996;46205,24;1741,19979622;937,672492242;35;1;6;28;1;1;1;26;4;2;3;2;68;1;1;3;0;1
48;80444,56;20266,5600224;34901,9347576;25276,07;2816,05697248;589,72364332;304;3;4;106;1;1;1;13;2;7;1;0;134;1;4;1;0;1
49;92536,96;4061,38319906;55047,1181564;33428,46;3225,79284181;429,778203562;2996;2;5;118;4;0;1;16;3;8;1;0;124;1;2;1;0;1
50;78542,28;9740,13594575;40577,1632402;28224,98;3187,18970334;346,840000631;1685;1;4;115;1;0;1;4;1;4;2;0;120;2;1;1;0;5
51;54316,07;3763,33718994;29819,8392413;20732,89;2399,91553792;280,163099672;66;2;3;119;2;0;2;7;1;20;7;0;108;0;1;1;0;3
52;101399,34;15722,1689598;52081,4483629;33595,72;2812,44450519;1128,7440576;73;1;4;93;1;0;1;1;1;1;1;0;117;0;1;1;0;1
53;260398,4;118280,644309;45807,0801333;96310,68;1808,99206357;1053,869789;83;2;5;26;2;0;1;1;2;6;1;0;310;0;1;1;0;3
54;62933,5;7222,70095638;25904,2945869;29806,5;2213,27275428;1459,70832831;188;1;4;82;4;0;2;1;2;3;2;0;125;0;4;1;0;1
55;56779,41;5964,6351804;24492,730674;26322,04;2082,47583375;1654,92282534;162;2;3;61;1;0;1;4;1;3;2;0;58;0;1;1;0;1
56;67141,97;6882,46907376;29442,6650793;30816,84;2541,87754881;1061,71692667;189;1;3;72;2;0;1;4;1;4;2;0;71;0;2;2;0;2
57;74063,21;87,0645280396;40865,1028148;33111,04;3373,43893111;1473,22319517;90;1;3;111;1;0;3;1;3;6;1;0;184;0;4;1;0;2
58;60380,92;7441,74974788;32646,3629965;20292,81;1992,97120648;939,243751814;84;1;5;53;3;0;3;8;2;2;13;0;82;0;2;1;0;1
59;45499;4912,24721489;23520,1280905;17066,62;1890,56239688;322,028274399;119;1;22;80;3;0;1;4;3;2;1;0;69;0;1;1;0;1
60;123333,71;24884,9595361;69201,1452923;29247,61;2941,95504183;327,885072617;34;2;17;57;1;0;1;3;1;3;1;0;64;0;1;1;0;2
61;173469,47;34206,076199;92751,2619909;46512,13;4190,34207013;1147,03875444;129;1;12;104;1;0;1;4;1;3;1;0;110;0;3;4;0;2
62;203129,97;38985,3547687;116369,454116;47775,16;4765,51485161;504,20747145;202;4;16;104;1;0;1;3;1;2;1;0;86;0;2;1;0;3
63;69064,03;14475,1882055;33504,2356828;21084,61;1587,89196028;219,964274537;38;1;9;31;1;0;1;3;1;10;1;0;41;0;1;2;0;1
64;68640,16;12644,4994018;36911,5501167;19084,11;1870,52629858;461,871771879;52;3;11;54;1;0;1;2;3;8;1;0;49;0;1;1;0;3
65;94241,41;13788,539365;61390,2872097;19062,58;1840,92725603;796,870393694;77;1;3;28;1;0;1;1;4;1;2;0;36;0;8;1;0;4
66;55544,73;8807,41228719;33604,2709101;13133,05;1178,29707729;363,070500036;86;1;3;20;3;0;1;1;3;8;1;0;28;0;1;1;0;4
67;153345,66;21680,6181248;96383,8373731;35281,2;3087,72808214;724,896702948;115;1;5;46;2;0;1;1;3;11;1;0;34;0;1;4;0;3
68;147868,52;34545,4741599;74210,4686451;39112,58;3081,3373185;774,91451983;96;1;14;63;1;0;1;3;2;2;3;0;65;0;4;1;0;1
69;76807,2;17283,4291036;31869,4834139;27654,29;1890,86345214;194,594924985;135;1;5;48;3;0;1;6;1;37;1;0;61;0;3;1;0;1
70;261806,11;127439,09016;28397,3478867;105969,67;3984,71570501;873,613797574;51;2;2;69;2;0;1;1;4;1;2;0;158;0;3;2;0;1
71;107913,58;53731,5043793;17247,6021662;36934,47;2221,99056475;945,40438517;86;4;13;55;2;0;3;1;1;1;1;0;64;0;6;1;0;1
72;166047,48;75932,0996743;27475,0872927;62640,29;5273,03210532;573,438805857;115;1;4;118;1;0;1;2;1;2;1;0;184;0;8;2;0;1
73;77720,98;23368,9540051;23175,3474533;31176,68;2669,87534689;616,399680882;102;2;6;92;1;0;1;1;6;3;2;0;91;0;9;1;0;2
74;65187,86;10822,1369671;29944,8945883;24420,83;2703,01192003;156,239687948;29;2;18;110;7;0;1;2;1;28;11;0;88;0;1;1;0;3
75;106891,38;25746,6447207;46313,3513743;34831,38;1883,56237374;246,101103386;93;1;40;33;3;0;1;1;3;10;1;0;59;0;4;2;0;5
76;73649,05;5699,69914721;35027,5021724;32921,85;2179,27870904;676,878817009;154;2;5;72;1;0;1;1;3;17;1;0;116;0;4;1;0;2
77;91022,16;21548,9866167;40957,3282017;28515,85;3079,17899686;1571,53988361;47;1;3;92;3;0;3;4;6;12;1;0;116;0;1;1;0;5
78;129536,04;16429,2087924;49213,8235409;63893,01;2992,88749991;1712,52796256;163;2;11;76;1;0;1;4;8;17;1;0;208;0;1;1;0;1
79;340381,83;182887,640052;44214,677858;113279,51;3108,84180854;1468,57046086;195;3;7;52;2;0;1;2;6;14;2;0;77;0;1;3;0;5
80;98708,73;7301,71172171;46652,1967011;44754,82;3591,64438084;794,505348;227;1;23;94;3;0;1;1;9;1;11;0;111;0;2;1;0;3
81;117329,82;7686,05225393;54380,7374339;55263,03;4638,97730283;745,982010516;118;1;3;115;4;0;0;1;2;20;1;0;130;0;1;2;0;1
82;216516,84;66059,3938255;59343,4299037;91114,02;4842,13156004;35,7902659887;28;3;13;135;3;0;0;1;2;13;1;0;97;0;4;1;0;1
83;41515,76;11011,8866287;8183,86544523;22320,01;1335,22083108;685,704256445;56;3;9;46;3;0;0;5;1;1;1;0;55;0;2;1;0;2
84;127142,99;12303,0267603;78334,2389766;36505,72;4060,4291821;1346,62033593;82;1;3;105;4;0;0;4;3;8;1;0;112;0;1;1;0;1
85;72118;16746,7350774;23251,5159744;32119,75;1708,22039433;848,126676225;113;2;11;43;3;0;0;2;4;1;1;0;49;0;1;1;0;1
86;21606,97;5618,10598298;5606,62654214;10382,24;406,998989759;376,200932659;66;2;8;11;2;0;0;1;1;1;1;0;48;0;1;0;0;1
87;207925,04;17643,6055548;132645,727606;57635,71;6111,28879496;932,532586927;173;1;29;165;4;0;0;1;3;13;1;0;155;0;1;0;0;2
88;49426,34;13203,9412168;11742,3399621;24480,06;1398,21926733;726,823684366;117;2;6;30;7;0;0;1;1;2;1;0;46;0;3;0;0;2
89;51184,25;9698,6567749;12108,7184473;29376,87;1462,4777834;426,521221427;118;2;31;47;1;0;0;1;2;11;1;0;34;0;2;0;0;1
90;32565,48;5138,4921474;14917,1001175;12509,89;969,53739753;290,698073457;52;1;7;18;6;0;0;4;4;17;1;0;29;0;2;0;0;2
91;51075,91;7346,7781089;18304,4604821;25424,67;1609,39138385;901,262971689;97;1;8;29;3;0;0;1;3;13;1;0;82;0;4;0;0;2
92;136131,7;15914,3239212;78580,4307917;41636,95;4257,49788403;472,099751706;81;1;16;91;2;0;0;3;3;2;1;0;90;0;3;0;0;1
93;113081,43;17394,0965948;34466,0334719;61221,3;3244,15518413;1625,0059547;89;2;7;63;1;0;0;1;3;5;1;0;143;0;1;0;0;3
94;68778,71;10806,3952722;35624,611348;22347,7;1778,65590812;150,004451692;34;2;21;41;1;0;0;3;1;9;1;0;36;0;2;0;0;2
95;155964,81;20030,9871011;53021,7792405;82912,04;4127,96319345;921,295267194;158;3;28;101;1;0;0;2;13;6;1;0;175;0;1;0;0;1
96;279052,9;63069,4610733;95396,9762443;120586,46;5991,94112437;1466,70351568;113;3;19;124;2;0;0;1;10;3;1;0;168;0;2;0;0;1
97;214556,58;30891,6092026;76844,4436872;106820,53;5375,50633089;1603,6572817;152;2;3;125;3;0;0;3;5;14;3;0;195;0;11;0;0;1
98;357108,2;30027,0907427;109063,060513;218018,05;6321,17021333;3178,3429878;93;2;2;118;6;0;0;2;4;11;1;0;534;0;4;0;0;2
99;252610,53;91917,548685;31842,328643;128850,65;1511,44562275;1744,30614867;37;1;9;12;2;0;0;1;2;19;1;0;91;0;4;0;0;2
100;120759,28;31133,6322697;28809,9418235;60815,71;2271,24053727;493,531676481;19;2;16;38;4;0;0;1;4;2;0;0;87;0;7;0;0;2
101;180468,5;55711,1023617;39909,2303589;84848,17;3073,83469276;288,836561947;39;1;14;72;2;0;0;2;4;19;0;0;96;0;2;0;0;1
102;247322,28;44808,8253937;77993,1175069;124520,34;4551,94474841;325,522655588;16;2;6;90;2;0;0;4;2;3;0;0;118;0;3;0;0;2
103;110053,99;4050,87281965;36459,2287525;69543,89;3126,97687915;1178,15068188;44;2;2;83;2;0;0;1;2;10;0;0;168;0;4;0;0;4
104;89604,1;17136,580988;23267,7825346;49199,74;1048,4906657;538,090829719;7;2;18;9;2;0;0;2;1;5;0;0;127;0;6;0;0;7
105;286922,9;65598,3512263;84492,8002619;136831,75;5431,19026803;1253,82155388;55;1;10;109;3;0;0;5;3;5;0;0;223;0;3;0;0;1
106;66562,1;11100,7507014;18257,883313;37203,47;2127,66861642;989,307965696;17;1;12;51;2;0;0;1;2;7;0;0;62;0;1;0;0;2
107;3023670,96;1574933,59234;365875,028956;1082862,34;20637,8982205;554,376540799;241;1;6;150;4;0;0;1;2;1;0;0;260;0;4;0;0;3
108;443073,77;12064,4720788;47193,0336588;383816,26;6765,88494638;2114,26739446;97;2;5;103;1;0;0;1;1;2;0;0;283;0;4;0;0;1
109;5636525,55;1849811,74101;807848,429489;2978865,38;15109,2967279;8122,61511494;116;1;6;119;4;0;0;1;3;5;0;0;263;0;4;0;0;2
110;680295,45;5982,60450148;156616,666434;517696,18;8591,82801387;1839,74228725;37;1;13;85;2;0;0;3;1;2;0;0;144;0;4;0;0;1
111;9986839,02;3126415,06481;769958,781919;6090465,17;18967,1250312;2524,14861969;64;1;2;92;1;0;0;1;2;22;0;0;517;0;2;0;0;2
112;5339362,61;1104547,55421;316686,265618;3918128,79;20886,6175079;4145,77124386;45;1;2;102;1;0;0;2;1;27;0;0;247;0;6;0;0;2
113;605756,84;51975,5544379;163416,191706;390365,09;10941,1461346;1508,43445946;245;1;2;83;6;0;0;7;2;9;0;0;136;0;8;0;0;2
114;766720,27;30676,4171028;65786,85986;670256,99;13954,2025042;2701,69800427;54;2;8;208;2;0;0;2;6;18;0;0;262;0;1;0;0;1
115;2141328,34;148301,289074;385897,409612;1607129,64;26767,5088729;5084,41478018;132;1;11;251;1;0;0;2;2;12;0;0;450;0;9;0;0;1
116;1260366,61;167715,343297;27904,6896586;1064746,58;5224,83052623;1072,49985492;24;1;36;33;1;0;0;8;4;13;0;0;70;0;5;0;0;1
117;872987,11;15249,8867654;138722,278937;719014,94;14982,0466291;4891,596811;239;1;44;225;3;0;0;1;6;9;0;0;842;0;3;0;0;2
