"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
1;490000;19657,7340716;931,019454035;469411,25;860,055713533;15,4895682128;66,4400024414;0;1;140,54587;140,54587;157,87987;157,87987;0;0;146,6362;146,6362;4;1;1;3;1;6;2;1;2;1;1;2;2;1;1;1;2
2;490000;52070,2399959;3643,357451;434286,4;2117,08672742;475,021084839;37,4766667684;39,5966657002667;2;9530,38533;3176,79511;10700,04492;3566,68164;9037,20384;3012,40128;10106,42242;3368,80747333333;1;1;3;2;2;6;6;3;1;1;2;2;2;3;1;1;1
3;490000;37286,8123464;3575,96178215;449137,23;3045,24788821;940,946662447;49,562500635775;22,5266669591333;1;36732,61725;3061,0514375;41313,46197;3442,7884975;34013,83061;2834,48588416667;38566,16041;3213,84670083333;1;2;2;4;1;5;4;6;1;1;1;1;1;4;1;1;3
4;490000;48270,7724823;3032,66454057;438696,56;1878,93570855;1638,28328931;40,988750457775;43,8937504291625;2;32975,52808;4121,94101;37060,52572;4632,565715;31443,32211;3930,41526375;35118,42948;4389,803685;6;2;1;2;4;9;6;4;2;1;1;1;1;9;1;1;1
5;490000;40807,7992714;19920,7473177;429271,45;4020,55115316;1018,91851157;0;0;0;0;0;0;0;0;0;0;0;3;1;1;2;2;65;1;2;1;3;1;2;1;6;1;1;1
6;490000;25627,7801341;7999,05766127;456373,16;1870,55524335;315,426333661;0;0;0;0;0;0;0;0;0;0;0;6;1;1;9;1;18;5;2;1;1;2;7;1;3;1;3;4
7;490000;12576,2867464;3993,51287804;473430,2;1187,35467656;284,765370653;0;0;0;0;0;0;0;0;0;0;0;2;1;2;6;1;22;4;2;2;1;1;26;2;4;1;1;2
8;490000;16614,5039378;42656,9616145;430728,53;2862,74588869;438,669806062;50,27000045775;33,19249916075;2;33655,88999;8413,9724975;37863,49699;9465,8742475;31624,76226;7906,190565;35274,66076;8818,66519;2;1;1;2;2;22;4;3;1;1;2;2;5;3;1;1;1
9;490000;20275,4296107;76840,9679452;392883,6;7542,02702913;2619,82570352;34,1684207916263;41,8636842526929;4;214652,51654;11297,5008705263;241430,94429;12706,8918047368;202249,183;10644,6938421053;225813,50633;11884,9213857895;13;1;1;4;1;145;2;1;2;1;1;2;2;3;1;1;3
10;490000;26548,3640858;97589,3917861;365862,24;3688,36123994;1324,61149822;47,79000091555;37,1150007248;2;14320,91994;3580,229985;16111,31715;4027,8292875;13523,92611;3380,9815275;15097,60693;3774,4017325;2;1;3;3;2;52;4;2;2;1;2;8;1;3;1;1;1
11;490000;9494,20993376;103737,673863;376768,12;11579,2262618;1491,15907908;33,1609091325182;29,9418182372909;2;54626,86331;4966,07848272727;61490,86793;5590,07890272727;52395,14648;4763,19513454545;58674,71223;5334,06474818182;4;1;1;4;2;205;7;3;1;1;2;10;2;4;1;1;5
12;490000;17859,4187665;81202,265223;390938,32;8517,47454503;1160,35222829;31,87750005725;37,617500782025;2;12864,21536;3216,05384;14480,16629;3620,0415725;12338,6629;3084,665725;13817,45276;3454,36319;2;1;1;2;2;150;4;1;1;2;1;14;8;4;1;1;3
13;490000;40365,7625526;91903,0020066;357731,24;4876,4232087;464,436611423;25,5137503147;28,366250514975;4;53062,11308;6632,764135;59758,14323;7469,76790375;49340,67942;6167,5849275;55329,62681;6916,20335125;3;1;1;2;1;46;2;1;2;1;1;14;8;3;1;1;2
14;490000;29502,0378673;93799,3967596;366698,57;7372,30428742;594,59013383;29,834761982881;30,5852382296661;5;226873,17805;10803,4846690476;254962,16165;12141,0553166667;213862,0587;10183,9075571429;239563,7622;11407,7982;6;2;1;2;3;86;2;3;3;1;1;5;1;1;2;1;3
15;490000;17028,8926345;73298,7899375;399672,32;8470,05843384;1341,5401388;36,25800027847;38,60600032806;3;56427,5386;5642,75386;63461,2669;6346,12669;53125,9851;5312,59851;59258,93261;5925,893261;5;1;1;4;5;149;2;1;2;1;1;9;1;7;1;1;1
16;490000;19631,4086564;61780,1627639;408588,43;8838,48727334;997,665624022;30,7171429225357;32,2642864840405;3;73360,11957;5240,00854071429;82524,95596;5894,63971142857;69214,96861;4943,92632928571;77254,07958;5518,14854142857;6;1;2;6;5;186;14;2;4;1;1;5;2;1;1;1;1
17;490000;33763,3903453;56702,8182824;399533,79;6682,99443549;2095,99809393;35,8366667429667;37,2366663614889;2;91292,41851;10143,6020566667;102712,80437;11412,5338188889;86356,87301;9595,20811222222;96438,98659;10715,4429544444;10;1;1;6;1;160;4;9;1;1;1;32;1;6;1;1;1
18;490000;27929,2791418;57320,4748948;404750,25;7242,65127714;1880,87313716;30,90599994658;30,90599994658;2;19682,02419;1968,202419;22118,11187;2211,811187;18590,1942;1859,01942;21117,24438;2111,724438;1;1;1;4;1;151;2;5;2;1;1;19;1;11;4;1;3
