"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"accidents";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
1;250000;4252,63788597;1989,49306002;243757,87;516,73074649;514,736696038;1;1;3;3;1;2;1;1;2;2;1;1;27;2;1;1;1;1
2;250000;31664,9772857;2618,6932703;215716,33;837,87798876;506,964008986;1;1;2;6;1;2;1;2;1;3;1;1;47;2;1;1;1;1
3;250000;44982,9170844;151,129322962;204865,95;711,790904901;697,793790146;1;2;4;3;3;3;1;1;3;1;1;2;31;1;2;1;1;1
4;250000;14661,3826885;2694,87819537;232643,74;2077,62490132;68,088726142;1;1;2;8;1;1;1;4;4;2;2;1;15;2;1;1;1;1
5;250000;11053,6266662;5060,05617824;233886,32;1047,37711876;1022,21088988;3;1;2;9;1;1;1;1;2;7;1;1;27;1;4;1;1;5
6;250000;10121,6506917;6106,59755616;233771,75;1184,28044513;1066,97840588;1;2;5;10;2;1;1;1;3;6;1;1;98;1;2;1;1;2
7;250000;16668,0722856;14404,5856657;218927,34;2372,17976552;470,424826824;1;1;4;43;1;2;1;1;2;11;1;1;89;1;2;1;2;1
8;250000;11413,5413746;27847,7675538;210738,69;4461,4602802;812,819973401;1;3;2;84;1;1;1;1;3;3;1;1;91;2;4;1;1;1
9;250000;20967,3532549;4523,10823578;224509,54;1208,47580877;610,660093078;2;1;3;15;3;1;1;1;3;2;1;1;62;3;2;1;1;1
10;250000;8572,89312587;15061,565045;226365,54;2122,24908013;284,765370652;2;1;6;43;3;1;1;2;2;2;1;1;35;5;1;1;1;2
11;250000;5661,25834758;6884,44722539;237454,29;687,103645869;156,345381523;1;1;2;7;1;1;1;1;4;1;1;1;9;4;3;1;1;1
12;250000;14009,5441514;58874,1293508;177116,33;4069,02052989;1060,15224532;2;2;6;54;1;1;1;1;2;1;1;1;109;2;1;1;1;1
13;250000;6375,98683258;52549,8204887;191074,19;3543,08204594;1172,10378152;1;1;3;88;1;1;1;2;3;11;1;1;146;2;3;1;1;4
14;250000;14274,0951219;55495,9091304;180230;1409,52976957;592,349619468;1;1;2;6;3;1;1;1;4;1;1;1;82;2;3;2;1;1
15;250000;7180,87494848;51777,7392798;191041,39;5788,64308148;726,877733996;2;1;2;117;1;1;1;3;4;10;1;1;108;1;2;1;1;2
16;250000;12657,731525;35463,3473488;201878,92;4469,82316812;560,596870612;1;1;3;85;1;1;1;1;2;20;1;1;146;4;2;1;1;1
17;250000;4811,74206846;46858,5005612;198329,76;4075,16611169;597,69037949;1;1;2;43;2;1;2;1;2;2;1;1;176;1;3;1;1;2
18;250000;17995,6517891;52666,8211513;179337,53;3248,43800282;492,52109673;1;1;4;50;3;1;1;1;2;2;3;2;76;2;2;1;1;1
19;250000;7607,03274938;34122,3192813;208270,65;4420,58016674;1028,58459064;1;1;3;90;4;3;1;3;10;8;1;1;207;2;1;1;1;1
20;250000;7200,85630347;48804,5362517;193994,61;5313,75222041;538,76694764;1;2;3;124;2;1;1;3;2;1;1;1;129;1;2;1;1;3
21;250000;17899,6283272;43089,647127;189010,72;3208,53760265;1064,98103903;1;2;4;71;1;1;1;4;3;9;1;1;97;1;2;2;1;1
22;250000;4235,68755432;43947,6125263;201816,7;5163,12301869;551,060506545;1;2;2;114;1;1;1;1;3;4;1;1;142;1;3;3;1;1
23;250000;17161,8581235;28416,5718463;204421,57;2290,18915701;403,929290898;2;1;5;48;2;1;1;1;2;1;1;1;40;2;9;1;3;1
24;250000;7496,98730426;81709,0934548;160793,92;2546,44535716;89,1579866829;1;2;8;26;2;7;1;1;2;1;1;1;69;1;2;1;1;1
25;250000;5694,88190554;61326,20172;182978,92;4263,55893581;1081,96846444;3;1;6;89;3;5;1;1;2;16;1;2;197;1;3;1;1;1
26;250000;36223,6600355;22443,8207596;191332,52;2044,89247491;40,9614515256;1;1;2;9;2;1;1;5;2;12;4;1;38;1;1;1;1;1
27;250000;11451,0575979;29695,9955516;208852,95;4624,17752948;551,972356629;2;1;8;78;5;2;1;2;2;1;1;1;101;1;5;1;1;1
28;250000;11510,6864093;36309,6538463;202179,66;4819,66184672;19,3090738758;1;1;3;81;2;1;3;1;3;1;2;1;140;1;4;3;1;2
29;250000;23293,0076377;5069,96800218;221637,02;1712,4948371;817,24295256;1;3;2;14;1;1;1;1;2;15;1;1;83;1;5;1;1;1
30;250000;79891,0399158;2367,66600652;167741,29;1424,8459876;776,655647252;2;1;2;21;2;3;2;1;2;3;1;1;75;2;2;2;1;1
31;250000;107709,550954;4865,97718671;137424,47;1469,0019727;531,247538829;1;2;9;25;3;4;5;1;4;2;1;1;24;4;6;1;1;1
32;250000;63824,8050963;9608,26717116;176566,93;802,990921573;813,481689709;1;1;7;6;3;1;2;1;5;4;3;2;36;3;3;1;1;2
33;250000;22642,7508881;24368,023084;202989,23;487,080483996;85,6282961688;1;1;2;43;1;1;1;1;6;17;4;1;56;1;1;1;1;1
34;250000;15820,6576825;8016,89058064;226162,45;1245,49420475;798,980563295;1;1;2;24;2;1;1;2;1;24;1;1;28;1;1;1;1;1
35;250000;25851,3167556;9670,60130801;214478,08;1989,55712881;1032,88423917;3;1;3;48;2;8;1;2;4;14;5;1;129;1;4;1;1;1
36;250000;12538,450047;76694,7034011;160766,85;3470,70458444;1103,39908693;2;1;3;53;1;13;1;1;3;29;1;1;143;2;6;4;1;1
37;250000;14454,4148504;54520,3890124;181025,2;3057,18569218;138,574378151;3;1;3;99;3;2;2;2;4;33;1;1;177;2;5;2;1;1
38;250000;14654,5686644;42201,2620205;193144,17;4780,94618548;867,525258302;2;1;3;108;1;2;2;1;2;13;1;2;123;4;2;2;1;1
39;250000;27732,769554;21759,2130412;200508,02;4930,16614816;802,149941703;2;2;3;43;3;2;1;2;5;5;6;1;114;4;3;1;1;1
40;250000;44761,9543922;1911,49053364;203326,56;3911,3261842;192,270672347;2;1;3;41;1;1;1;1;2;3;21;1;113;4;2;2;1;1
41;250000;9647,94134346;24086,0329967;216266,03;4492,56354161;564,002684896;1;1;3;16;1;1;1;3;3;9;1;1;99;2;1;2;1;1
42;250000;75490,8165505;27413,9721036;147095,21;1625,91494455;613,042169088;1;1;2;27;3;1;2;1;5;6;5;1;30;4;2;1;0;2
43;250000;44568,677807;4407,4136804;201023,91;594,160885239;958,892852449;2;1;4;38;1;1;4;1;5;1;5;1;55;1;1;2;0;4
44;250000;24023,5020885;17492,7389712;208483,76;2404,5226761;1034,00489734;3;1;5;9;1;1;6;1;2;6;1;1;32;1;2;1;0;2
45;250000;32882,0750239;11088,9759692;206028,95;1861,2318823;502,553507641;2;1;25;81;1;1;17;2;1;18;1;1;14;2;5;1;0;3
46;250000;5628,6708879;10055,0880896;234316,24;1646,47686744;17,8590411605;2;1;6;41;1;1;7;1;3;52;1;1;159;4;1;1;0;1
47;250000;1378,17429483;78897,4447488;169724,38;4014,42189051;444,654095367;4;1;8;68;2;1;1;3;4;40;1;1;245;2;5;2;0;1
48;250000;10475,8308191;53339,3179508;186184,85;3449,60169023;436,280832549;2;1;8;30;1;0;2;1;1;22;1;1;147;1;3;1;0;1
49;250000;479,219553435;74922,715697;174598,06;4396,06701074;1196,58093984;1;1;16;105;1;0;2;2;1;12;10;1;77;1;4;1;0;1
50;250000;12412,6895712;15244,8227797;222342,49;3306,95229785;100,080829382;1;4;12;114;2;0;1;1;4;5;7;1;102;2;3;1;0;2
51;250000;16390,2059579;11177,6651156;222432,13;4550,64750203;434,62247766;4;1;4;17;1;0;1;1;3;14;11;1;126;1;3;2;0;2
52;250000;10521,922033;30690,5440719;208787,53;5579,99364665;991,781441943;1;4;3;26;4;0;1;1;4;8;4;1;96;3;1;1;0;1
53;250000;14716,9655029;4107,00629631;231176,03;1992,61323602;730,174874882;4;3;2;77;3;0;3;1;3;31;4;1;22;4;1;1;0;3
54;250000;57830,8331784;4733,57122172;187435,6;951,488539406;1998,2641903;1;1;2;141;6;0;2;1;5;24;1;1;9;1;1;1;0;2
55;250000;40305,2580116;2386,22973438;207308,51;759,793002755;675,912973195;1;3;3;137;2;0;4;1;1;21;1;1;20;1;2;1;0;1
56;250000;34502,4780534;481,063639502;215016,46;645,551790145;282,683578804;1;1;3;93;1;0;11;4;1;8;1;2;85;2;1;3;0;2
57;250000;5811,98540351;16610,5133396;227577,5;1644,21162166;343,697942308;1;1;5;117;1;0;6;2;3;12;1;0;130;2;1;2;0;2
58;250000;16719,6940486;54620,1877691;178660,12;4450,21854019;639,564499801;6;2;3;69;1;0;1;1;1;41;6;0;326;2;2;1;0;1
59;250000;12393,9593658;77108,8008259;160497,24;6295,34104282;224,922998038;1;1;8;7;3;0;2;1;5;6;15;0;245;1;2;1;0;4
60;250000;18013,1216626;26795,008045;205191,87;5686,61537651;557,734112537;1;2;4;16;2;0;1;1;7;1;1;0;137;1;1;2;0;1
61;250000;17785,963558;47270,171299;184943,87;4667,34109472;960,914535124;1;2;12;18;2;0;1;1;4;10;1;0;174;1;1;1;0;1
62;250000;4664,31014111;29065,6482888;216270,04;6040,90757873;565,608737091;1;2;24;3;1;0;7;2;4;3;1;0;104;0;4;1;0;1
63;250000;30342,9358619;30311,0789504;189345,99;3863,73048356;901,919318553;2;1;25;6;2;0;1;2;4;2;1;0;28;0;1;2;0;3
64;250000;17709,6352235;4040,58734115;228249,78;1208,93795879;868,471681037;1;2;5;3;2;0;1;1;2;8;3;0;10;0;1;1;0;2
65;250000;2656,99548967;10068,0976408;237274,91;649,276911485;696,923087836;1;2;3;15;4;0;1;1;1;33;5;0;7;0;1;1;0;1
66;250000;13422,72992;1168,94868296;235408,32;1047,46063157;628,179159159;2;1;2;63;2;0;2;1;6;32;23;0;9;0;5;1;0;3
67;250000;8760,67740758;639,886009048;240599,44;590,268350211;500,109011202;2;1;2;53;5;0;1;1;4;57;13;0;9;0;10;1;0;2
68;250000;14115,5682338;838,198533451;235046,23;518,76772978;487,224644111;1;1;7;137;5;0;1;1;2;17;1;0;4;0;5;2;0;1
69;250000;17679,2134667;1717,37936221;230603,41;547,506721375;546,732376898;6;1;3;136;3;0;2;2;2;9;1;0;7;0;1;1;0;2
70;250000;14234,3577159;55,9934840098;235709,65;498,42926431;626,447034683;2;1;7;64;1;0;1;1;4;21;1;0;22;0;8;1;0;2
71;250000;10268,7140326;11106,4944344;228624,79;1220,8292325;204,947567124;1;1;15;109;2;0;1;2;2;22;1;0;129;0;3;1;0;1
72;250000;14454,5980799;39873,5811517;195671,82;4170,23657507;1311,00049855;1;2;18;92;4;0;1;1;2;21;17;0;179;0;2;1;0;2
73;250000;12230,536734;30144,9594551;207624,5;4009,80295976;549,414106664;2;2;4;76;1;0;1;1;2;18;1;0;219;0;1;1;0;4
74;250000;21021,6124811;35045,8550752;193932,53;6767,18073356;1118,65377679;2;1;31;129;2;0;1;1;6;2;1;0;341;0;2;1;0;1
75;250000;8348,47167833;44565,8616992;197085,67;6306,7734237;588,175644401;2;1;8;140;1;0;0;1;3;8;1;0;169;0;4;1;0;1
76;250000;34886,2801657;30233,6296456;184880,09;3698,34406908;554,399568706;2;1;45;157;4;0;0;5;3;26;2;0;151;0;3;2;0;5
77;250000;28200,9040225;38866,4789913;182932,62;5064,12292826;372,489676222;3;2;5;110;1;0;0;1;3;9;1;0;88;0;2;1;0;3
78;250000;40302,6754519;14449,0545479;195248,27;3143,55325995;918,410394775;1;1;6;39;1;0;0;1;5;5;1;0;5;0;1;1;0;4
79;250000;5979,38466019;482,140751556;243538,47;228,607574674;708,708619839;1;1;3;3;1;0;0;4;2;9;2;0;106;0;3;1;0;2
80;250000;5206,74289147;36772,7520633;208020,51;3313,14715221;912,018401927;1;2;10;6;4;0;0;2;3;18;1;0;188;0;1;1;0;2
81;250000;22588,9295192;47272,598524;180138,47;5372,35692991;643,07837045;1;1;5;93;11;0;0;2;3;1;1;0;149;0;4;1;0;6
82;250000;8740,73176413;55473,9811068;185785,29;5778,85900779;729,026820465;1;1;18;29;8;0;0;1;5;4;1;0;174;0;2;1;0;1
83;250000;12776,6832608;52981,4384287;184241,88;5733,29406369;705,146073195;3;1;8;92;2;0;0;1;2;6;0;0;161;0;6;1;0;1
84;250000;16200,7733407;40239,5080654;193559,72;5274,69926105;687,471878669;2;1;8;50;2;0;0;11;1;12;0;0;63;0;5;1;0;2
85;250000;57218,0822922;2234,87411887;190547,04;2488,45482578;1302,03565987;2;2;4;41;3;0;0;1;2;19;0;0;108;0;1;1;0;1
86;250000;11338,4028825;5543,28618817;233118,31;861,514635497;480,993949398;1;1;4;86;6;0;0;2;4;58;0;0;21;0;6;1;0;2
87;250000;10780,9614937;3603,32538878;235615,71;789,651953937;539,367855361;1;1;2;3;14;0;0;4;1;1;0;0;98;0;7;0;0;2
88;250000;7640,49532816;36580,4912975;205779,01;4075,30512688;627,543777365;6;3;25;73;2;0;0;1;4;1;0;0;52;0;4;0;0;1
89;250000;654,488628144;3461,31173702;245884,2;1292,87033878;580,325009244;4;2;7;103;3;0;0;2;6;6;0;0;101;0;4;0;0;1
90;250000;738,704239036;19641,9796103;229619,32;3061,86211073;909,269022035;2;2;22;78;2;0;0;4;9;7;0;0;208;0;2;0;0;2
91;250000;12508,0403948;20307,3521271;217184,61;3714,10825299;575,37249241;2;1;7;126;3;0;0;1;2;16;0;0;170;0;2;0;0;1
92;250000;13573,4708518;29340,7954965;207085,73;3196,79056515;354,011302043;1;2;22;117;3;0;0;13;5;14;0;0;99;0;2;0;0;2
93;250000;17698,6615146;38985,9382833;193315,4;4070,39790283;1117,38065846;1;1;8;42;1;0;0;1;4;19;0;0;18;0;4;0;0;2
94;250000;26505,3140516;1469,01704103;222025,67;918,122915144;1516,39572595;3;4;27;9;1;0;0;5;4;12;0;0;16;0;2;0;0;2
95;250000;18956,6611233;14967,3956525;216075,94;295,256905331;4,95227921933;1;1;14;23;5;0;0;1;2;14;0;0;143;0;2;0;0;5
96;250000;12120,982474;29560,660127;208318,36;3493,0319267;2279,70573232;1;1;5;3;6;0;0;2;7;39;0;0;180;0;3;0;0;2
97;250000;18959,6746506;29841,3948639;201198,93;5311,24269101;1887,88496597;2;1;8;3;2;0;0;3;2;1;0;0;133;0;6;0;0;2
98;250000;21430,4132667;39776,5785142;188793,01;4700,04108641;1559,29679782;1;1;18;95;2;0;0;1;8;11;0;0;173;0;1;0;0;2
99;250000;18506,3554944;49209,2095287;182284,43;5621,07851661;1965,96351195;2;4;12;78;7;0;0;1;2;10;0;0;184;0;3;0;0;1
100;250000;18261,6194466;22505,0057138;209233,37;6278,29111343;1953,87888182;2;2;21;3;3;0;0;1;5;6;0;0;40;0;1;0;0;1
101;250000;42062,9193355;3136,63496558;204800,45;3081,80535344;676,711581548;3;1;13;3;2;0;0;1;8;6;0;0;55;0;1;0;0;1
102;250000;28605,0306253;4917,45240022;216477,52;2118,51692028;1351,81026976;2;1;12;7;3;0;0;1;5;15;0;0;44;0;5;0;0;1
103;250000;2604,98156073;4045,23985891;243349,78;3377,16299642;193,779100793;2;1;20;3;1;0;0;1;5;14;0;0;35;0;11;0;0;2
104;250000;2261,64112562;4572,32584039;243166,03;522,455911311;1039,99944821;1;1;23;78;1;0;0;2;2;10;0;0;70;0;9;0;0;1
105;250000;13417,1491799;1102,01582084;235480,83;461,431889615;995,153628931;1;1;3;129;1;0;0;7;4;4;0;0;193;0;4;0;0;1
106;250000;0;41753,4408321;208246,56;4974,17658915;942,449025339;1;1;14;42;2;0;0;3;8;7;0;0;163;0;7;0;0;1
107;250000;0;39363,8824373;210636,12;4973,27483215;229,027771159;1;1;14;5;2;0;0;8;1;2;0;0;3;0;7;0;0;3
108;250000;37873,9766534;0;212126,02;1418,59327549;348,04611939;2;1;45;7;2;0;0;1;5;21;0;0;6;0;8;0;0;1
109;250000;3466,46542105;0;246533,53;375,489020169;91,5874252991;1;3;26;76;8;0;0;1;4;8;0;0;8;0;20;0;0;1
110;250000;902,139001087;0;249097,86;49,7263483699;20,6260755557;1;1;19;6;2;0;0;1;3;1;0;0;4;0;3;0;0;2
