"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
1;919284,98;623372,387569;31143,437176;264769,16;5202,60059518;2139,00737621;21,5866666451513;21,793589689795;2;61137,54285;1567,62930384615;68796,10693;1764,00274179487;55813,35609;1431,11169461538;63504,16846;1628,31201179487;3;1;3;38;11;58;4;8;13;1;3;1;6;1;1;1;1
2;1410674,2;83628,7598621;248543,286141;1078502,15;17240,6807555;9011,06971748;24,2320832808868;24,1612499853037;2;333323,16554;6944,23261541667;375884,98162;7830,93711708333;306275,25339;6380,734445625;343536,12061;7157,00251270833;2;2;4;86;4;307;14;8;6;25;5;10;1;11;1;1;6
3;530880,45;55792,8540535;225935,315527;249152,28;13139,9206503;5401,94735935;22,7585293545353;21,2288236057026;2;183065,18656;5384,27019294118;205639,40937;6048,21792264706;174241,3333;5124,74509705882;195193,0658;5740,97252352941;2;1;1;49;2;302;11;4;4;48;2;13;1;12;3;1;4
4;572472,5;53237,4497122;173137,838897;346097,21;9507,95345792;1821,68977577;24,3068423522105;24,2547371011;2;137552,83338;7239,62280947368;154348,50592;8123,60557473684;130510,81119;6868,99006263158;146541,20054;7712,69476526316;1;1;3;22;5;189;7;7;6;10;6;5;3;5;1;2;3
5;258509,5;38391,159417;113771,810744;106346,53;6061,24582822;2385,48601801;19,0776923986448;22,4738457753;2;90057,73814;6927,51831846154;101036,33481;7772,02575461538;86252,74187;6634,82629769231;96208,09937;7400,62302846154;3;2;2;18;8;139;6;2;2;14;1;16;2;11;1;4;2
6;407241,44;53555,4900561;212427,503758;141258,45;14441,3984513;2775,28698287;9,31450984057362;11,7994119326296;1;146166,67029;2866,01314294118;164135,29715;3218,33915980392;139142,29003;2728,28019666667;156354,95614;3065,78345372549;3;12;1;36;1;551;4;2;14;7;2;15;5;15;1;2;3
7;777402,53;160975,548472;296977,833008;319449,15;21256,9615307;9176,17263466;13,7253683943485;12,5078946816283;1;484654,22856;5101,62345852632;544049,12028;5726,83284505263;461951,35079;4862,64579778947;517172,0901;5443,91673789474;6;15;3;71;8;666;37;1;3;19;1;25;4;7;2;1;28
8;637635,3;125195,855224;348737,647198;163701,8;15356,0871199;2660,88098112;11,3151515517585;13,5367677669368;1;271413,79962;2741,55353151515;304942,46379;3080,2269069697;258076,98158;2606,83819777778;290877,30444;2938,15459030303;2;1;1;9;1;350;4;7;2;7;1;22;4;10;1;4;7
9;527808,62;96105,8487941;297458,347552;134244,42;11079,1459395;2854,33499864;15,398550738457;13,7375362852345;1;281628,62178;4081,57422869565;316205,08707;4582,68242130435;267982,69628;3883,80719246377;301138,26182;4364,32263507246;1;20;2;11;5;205;9;6;1;1;2;4;11;3;2;1;13
10;1079769,36;360712,142765;297752,28526;421304,93;26987,6413325;7372,20243196;18,5297779030299;17,4135555797138;2;570841,7679;6342,68631;640759,13135;7119,54590388889;542774,31724;6030,82574711111;607645,4444;6751,61604888889;1;2;1;62;4;717;10;5;1;3;1;59;4;15;2;1;19
11;814456,42;274950,115575;212774,907342;326731,4;17516,8161781;3730,55265799;19,688889061963;19,0127780260898;2;292286,27383;5412,70877462963;328182,42343;6077,45228574074;278250,00787;5152,77792351852;311836,16758;5774,74384407407;6;7;4;48;8;442;12;7;3;1;1;1;1;7;1;1;7
12;647692,03;87223,3819376;286321,733075;274146,91;18711,7557309;4360,41145779;11,2359999762672;11,739777814018;1;127678,99977;2837,311106;143255,90181;3183,46448466667;120926,34247;2687,25205488889;136396,51996;3031,03377688889;8;12;1;24;7;403;22;10;2;2;1;6;2;12;4;1;15
13;850717,96;123987,752699;281304,362744;445425,84;17688,720071;6248,75605996;19,7744737424342;17,8321053856314;2;185626,1012;4884,8974;208597,19002;5489,39973736842;177436,29306;4669,37613315789;198184,70092;5215,38686631579;1;2;4;64;2;367;15;1;2;1;4;101;1;23;1;1;11
14;1354311,84;321467,759285;341032,312216;691811,77;23142,6289965;6811,45731969;21,2688680324943;15,43226418855;2;177283,34802;3344,96883056604;198831,74799;3751,54241490566;167127,44007;3153,34792584906;188961,47539;3565,31085641509;1;1;4;49;12;464;17;7;2;2;4;59;1;12;2;1;5
15;28327027,57;8958496,0376;2787194,35687;16581337,18;105143,890479;19300,978603;41,5599029226195;41,8166019847078;2;500324,61591;4857,52054281553;564966,2048;5485,10878446602;456530,8674;4432,3385184466;511184,18124;4962,95321592233;5;1;4;25;12;787;12;6;5;4;6;19;2;3;1;2;5
16;6708112,49;415221,578704;1078965,26992;5213925,64;90534,4494912;19997,2458763;30,4879053686139;35,7302026780876;3;928258,55982;6272,01729608108;1047018,29499;7074,44793912162;849494,27146;5739,82615851351;954554,01057;6449,68926060811;1;1;3;69;3;1079;38;5;1;1;2;9;1;6;3;1;23
17;294012;6457,94588552;134982,742685;152571,31;6183,31411391;2778,94673736;18,7869228399831;21,5800001254436;2;126868,94673;4879,57487423077;142358,7806;5475,33771538462;121448,55213;4671,09815884615;135480,49711;5210,78835038461;1;2;5;20;4;112;5;4;1;4;1;24;4;9;4;1;4
