"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
1;275400,78;10967,2141292;29118,5190992;235315,05;5772,09451184;1891,7256332;25,5685713631929;24,4450002397929;2;64849,45558;4632,10397;72843,80749;5203,12910642857;61045,25516;4360,37536857143;68391,60517;4885,114655;1;1;1;12;1;106;7;3;1;1;1;47;2;2;1;1;1
2;519270,94;33968,0911579;74196,7148968;411106,13;12157,4525354;2557,47051249;28,339375019075;19,4993753433312;2;72811,91469;4550,744668125;81667,72918;5104,23307375;69685,27512;4355,329695;77728,0677;4858,00423125;1;1;1;39;1;310;9;3;1;1;1;41;4;5;2;1;2
3;215541,23;4194,81845679;40321,2422044;171025,17;4048,07127569;1729,84792049;41,15333366395;44,6400006612167;2;53307,54445;8884,59074166667;59955,63939;9992,606565;50175,36795;8362,561325;55966,52357;9327,75392833333;2;1;2;6;2;75;4;1;1;1;1;8;6;5;1;1;1
4;258378,61;22879,9158816;41526,8780635;193971,82;3996,55111413;1831,758425;27,7055553860333;26,8966662089;2;33206,50188;3689,61132;37347,44573;4149,71619222222;31555,27399;3506,14155444444;35254,97921;3917,21991222222;1;1;2;7;1;97;6;3;13;2;1;25;1;1;2;3;2
5;240840,53;9024,5107256;38176,8653698;193639,15;5090,16888492;2593,21153922;29,9435719081286;29,6507144314885;2;57044,81354;4074,62953857143;64018,00655;4572,71475357143;53521,8292;3822,9878;60310,53109;4307,89507785714;1;1;1;18;1;121;3;4;1;1;1;24;4;5;1;1;1
6;402191,88;40845,3446268;75203,418563;286143,12;8895,32852858;3653,34264064;28,2653333028282;31,5239999771;2;104047,21331;6936,48088733333;116941,06603;7796,07106866667;98428,16566;6561,87771066667;109808,79325;7320,58621666667;2;1;2;15;2;209;7;2;1;1;3;68;4;7;1;1;3
7;481699,96;19027,3827926;77677,2583358;384995,32;12171,9686869;1955,02476373;28,60062503815;25,5512496829048;2;48496,39804;3031,0248775;54545,89235;3409,118271875;46196,37488;2887,27343;51634,17936;3227,13621;1;3;1;14;1;279;3;1;4;3;1;18;1;5;1;1;3
8;118024,58;6973,14120129;36674,0932943;74377,35;1743,5683617;836,946458003;36,2050004005625;39,8899998665;2;26530,69975;3316,33746875;29839,1635;3729,8954375;25211,62059;3151,45257375;28168,2798;3521,034975;1;2;3;2;1;19;3;1;1;2;1;7;1;1;1;1;1
9;352074,73;23576,5672976;65942,7764452;262555,39;8480,03421399;797,740807758;37,5379989624;47,613999176;3;28570,46249;5714,092498;32133,50191;6426,700382;26891,75586;5378,351172;29995,8048;5999,16096;1;1;1;9;3;194;2;1;2;1;1;16;1;1;1;1;2
10;647453,38;274568,812705;62638,5077729;310246,06;6916,81404148;2365,8520635;40,0600001017;33,7783330281667;2;24324,86778;4054,14463;27343,08855;4557,181425;22974,66619;3829,11103166667;25626,07729;4271,01288166667;1;3;1;12;1;188;1;4;1;4;1;28;1;3;1;1;1
11;584748,6;136791,316649;49277,078766;398680,2;9293,71141076;2474,81458662;26,6858829610529;22,7129415063412;2;50842,39009;2990,72882882353;57159,72971;3362,33704176471;47717,1549;2806,89146470588;53552,38425;3150,14025;2;1;2;6;2;231;5;1;1;1;3;19;2;3;1;2;1
12;321465,69;12301,0348909;46694,3475128;262470,31;6802,54872399;1650,85865725;24,0870592454;25,4311764100059;2;74548,98717;4385,23453941176;83832,46772;4931,32163058824;70369,33392;4139,37258352941;78517,00038;4618,64708117647;1;1;2;27;1;168;4;2;2;1;1;18;2;5;1;1;2
13;373616,38;14746,1241039;59439,1981944;299431,06;10504,7276473;2318,3891362;22,6157894134579;28,3536844755421;2;73615,6528;3874,50804210526;82692,78893;4352,25204894737;69371,05168;3651,1079831579;77681,71258;4088,51118842105;2;5;1;19;2;293;6;1;1;9;1;15;3;1;1;1;4
14;308660,42;13773,3525357;66803,3981057;228083,67;7011,49983295;1645,18879365;14,9733332951867;33,1800000508533;2;42104,31318;2806,954212;47313,40294;3154,22686266667;39951,94506;2663,463004;44584,26181;2972,28412066667;1;5;1;14;1;172;1;1;1;3;1;47;1;1;1;1;1
15;321183,53;14753,6069008;64765,4430094;241664,48;5298,58766688;2551,8111597;32,0635296316706;22,9717642840176;2;76241,64573;4484,80269;85676,02297;5039,76605705883;72381,0037;4257,7061;80782,00517;4751,88265705882;1;2;1;20;1;80;7;1;1;3;1;5;1;8;2;1;1
