"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"accidents";"frequency";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
1;40000;928,465168608;1951,00370002;37120,53;333,006938285;280,900051802;1;1;3;3;1;1;1;1;2;1;1;1;14;2;1;1;1;1
2;40000;2693,50264602;241,749402516;37064,75;418,026296762;80,6451770213;1;1;2;3;1;1;1;1;2;1;1;1;14;2;2;1;1;1
3;40000;3189,1397974;38,4893600059;36772,37;105,180813832;289,209816863;21;2;4;3;2;1;1;2;2;2;1;1;12;1;1;1;1;1
4;40000;5253,5079481;324,897084004;34421,59;214,511424642;214,637959354;10;2;2;3;1;1;1;2;2;2;1;1;33;1;3;1;1;1
5;40000;7545,26378285;151,02443649;32303,71;391,825583907;211,680872611;3;1;3;20;1;1;1;1;1;7;1;1;2;1;1;1;1;1
6;40000;2738,80181083;21,5120776598;37239,69;223,615164152;320,249812517;2;1;4;15;2;1;1;2;2;2;1;1;13;1;1;1;1;1
7;40000;1249,02586557;471,131089665;38279,84;360,109955887;377,327125178;1;1;3;9;1;1;1;1;2;2;1;1;16;1;2;1;2;1
8;40000;934,139148879;36,5977828512;39029,26;282,940385388;205,416100585;5;1;3;13;1;1;1;1;2;4;1;1;16;1;1;1;1;1
9;40000;3086,6712763;28,6129297121;36884,72;263,306773073;257,050825444;5;1;2;13;1;1;1;2;1;5;1;1;2;2;1;1;1;1
10;40000;2708,52094916;440,235371167;36851,24;227,820034514;229,431103722;9;1;2;6;2;2;1;1;2;12;1;1;10;2;1;1;1;1
11;40000;2664,71416884;6495,28372208;30840;1051,40544191;297,720558594;6;1;2;26;1;1;1;1;2;1;1;1;4;5;4;1;1;1
12;40000;1512,44402207;424,343736899;38063,21;203,235920369;203,432568264;19;1;2;4;1;1;1;1;2;1;1;1;9;2;1;1;1;1
13;40000;2167,23922528;1791,71109579;36041,05;483,729856152;183,019144967;3;2;4;22;1;1;1;1;2;3;1;1;14;4;1;1;1;1
14;40000;1410,22978668;95,5562450762;38494,21;178,143452184;163,594539926;5;1;2;6;1;1;1;1;2;6;1;1;23;1;4;1;1;3
15;40000;5831,97352641;3668,23597691;30499,79;536,87697466;183,565055135;9;2;3;14;1;1;1;3;1;2;1;1;16;4;2;1;1;1
16;40000;1948,45066321;602,8451967;37448,7;62,8755261108;46,114996263;2;1;3;12;1;1;1;3;2;2;1;1;25;1;1;1;1;1
17;40000;850,617146488;8069,93498072;31079,45;538,077582652;68,8713955;38;1;3;32;1;2;1;1;2;10;1;1;16;1;1;1;1;1
18;40000;2868,47463635;2875,51809626;34256,01;412,045244432;99,5249863713;4;3;2;23;2;1;1;1;1;8;1;1;5;1;1;1;1;1
19;40000;278,124219585;11993,0312835;27728,84;975,954610668;74,6218817585;9;2;2;34;2;1;1;1;2;8;3;1;47;1;1;3;1;1
20;40000;1539,97694349;6947,72413872;31512,3;1246,74325744;207,290612398;4;1;3;10;1;1;1;2;1;1;1;1;11;2;1;1;1;1
21;40000;6135,39301781;132,554921041;33732,05;324,579483944;395,315053424;2;1;2;6;1;1;1;1;1;1;1;1;24;1;2;1;1;1
22;40000;5929,74734907;6499,00078134;27571,25;225,352625226;64,5343017986;13;1;2;5;1;1;1;1;1;4;1;1;9;1;1;1;1;1
23;40000;3701,68273665;770,780708015;35527,54;961,46415346;379,101494997;6;1;3;21;1;1;1;1;1;4;1;1;45;2;1;1;1;1
24;40000;1129,93356178;2013,80122236;36856,27;190,507573983;192,289064952;3;1;2;21;2;1;1;1;1;1;1;1;23;1;3;1;1;1
25;40000;138,440725003;11925,7059532;27935,85;700,947357935;51,2439931352;1;2;2;18;2;1;1;3;2;2;1;1;2;1;2;2;1;1
26;40000;1230,23643165;8029,92659293;30739,84;1043,10476272;223,766339456;3;1;3;9;1;1;1;2;2;1;1;1;58;1;1;1;1;1
27;40000;1802,63190045;5377,48251646;32819,89;1041,27801173;225,999682264;2;1;2;16;1;1;1;2;1;5;2;1;15;1;1;1;1;1
28;40000;1344,91695554;11148,6120752;27506,47;812,197386132;39,5540452942;5;1;2;23;1;1;1;1;1;4;1;1;17;1;1;2;1;2
29;40000;806,613340379;16931,6080397;22261,78;388,486435831;59,1405211586;2;2;2;33;1;1;1;1;1;12;1;1;17;2;1;1;1;1
30;40000;976,590018436;1763,73707802;37259,67;1164,09878628;604,582961521;4;1;6;24;1;1;1;1;2;1;1;1;9;1;1;1;1;1
31;40000;3636,7791694;8388,07091867;27975,15;681,124234024;198,504164168;3;1;2;3;1;2;1;1;2;9;1;2;37;1;1;1;1;1
32;40000;3705,30033739;4815,78226599;31478,92;213,053420517;228,32260684;10;1;2;3;1;1;1;1;1;4;1;1;27;1;1;1;1;1
33;40000;1960,46509973;2804,99490763;35234,54;525,117871421;9,60505038512;2;1;3;12;1;1;1;2;2;7;1;1;74;1;2;1;1;1
34;40000;4121,2715613;4739,37107372;31139,36;428,977001833;234,515894341;28;1;2;12;1;1;1;2;1;8;1;1;19;1;2;1;1;1
35;40000;748,617882276;10518,4897829;28732,89;833,932728173;254,031951114;5;1;8;21;1;2;1;1;6;5;1;1;30;1;1;1;1;1
36;40000;6364,68524393;1302,96041262;32332,35;581,19775021;343,054862533;1;1;2;13;2;1;1;1;2;9;2;1;18;1;2;1;1;1
37;40000;1538,26318008;873,179451355;37588,56;574,259847985;332,145017738;12;1;4;6;1;1;1;1;1;3;1;1;21;1;2;1;1;1
38;40000;711,368665624;8395,37816795;30893,25;685,804598639;113,345489979;1;1;5;3;1;1;1;2;2;2;2;1;10;2;1;1;1;1
39;40000;0;3778,56492738;36221,44;380,778173457;257,946412346;1;1;2;21;1;1;1;1;2;4;2;1;31;1;1;1;1;1
40;40000;0;6616,46248074;33383,54;777,421211055;203,82167753;1;2;6;18;1;1;1;2;2;5;1;1;30;2;1;2;1;1
41;40000;0;8894,72603188;31105,27;900,291867515;200,06495104;2;1;3;18;1;1;1;2;2;6;1;1;44;1;1;1;1;1
42;40000;0;8116,25901787;31883,74;744,754365972;353,076504863;3;1;3;7;1;1;1;1;1;13;2;1;24;1;1;1;1;1
43;40000;0;6429,78904195;33570,21;1177,67770235;352,647172436;6;1;4;15;2;3;1;1;1;18;1;1;40;1;2;1;1;1
44;40000;0;6962,35380264;33037,65;1035,22074785;43,148797638;6;1;3;9;1;2;1;1;2;2;1;1;10;1;1;1;0;1
45;40000;0;5291,45056403;34708,55;711,32072716;228,476839282;1;1;3;22;1;1;1;1;2;1;6;1;23;1;2;1;0;1
46;40000;0;6783,31072444;33216,69;521,121949266;290,509198954;6;1;3;15;1;2;1;1;1;1;1;1;10;4;3;1;0;1
47;40000;0;9270,13458279;30729,87;673,68260957;33,1947788604;13;1;20;26;1;1;3;2;1;7;4;1;14;2;2;2;0;1
48;40000;0;6351,83401017;33648,17;791,460973758;186,695160821;1;2;4;19;2;1;2;1;1;3;1;1;5;4;3;1;0;1
49;40000;0;12555,245447;27444,75;1130,83058751;226,441987953;2;1;8;3;1;1;1;2;2;3;1;1;2;3;1;1;0;1
50;40000;0;14466,5869362;25533,41;586,066708905;196,833395058;20;1;2;13;1;4;6;1;2;2;1;1;8;2;1;1;0;1
51;40000;5825,12533188;0;34174,87;54,1855435973;143,924317826;10;1;11;20;1;1;5;1;2;9;1;1;17;2;2;1;0;1
52;40000;6808,38815572;0;33191,61;205,399664111;219,653911534;3;1;3;6;1;8;1;1;2;6;3;1;8;2;1;1;0;2
53;40000;2271,17947642;0;37728,82;371,50344494;195,830647159;3;1;7;23;2;1;1;1;2;12;1;1;12;1;1;1;0;1
54;40000;702,085885862;0;39297,91;9,48128447547;31,0894733079;4;1;2;19;1;1;1;1;2;2;1;1;6;1;1;1;0;1
55;40000;2835,34119352;0;37164,66;269,87136441;281,412764233;5;1;4;23;1;1;1;1;1;7;1;1;4;1;2;1;0;1
56;40000;1598,39996631;0;38401,6;10,061202972;54,5440655085;4;1;4;23;1;3;2;2;1;2;1;1;8;1;1;1;0;1
57;40000;1825,09683761;0;38174,9;85,60837058;52,8705250901;2;1;2;6;1;1;1;1;1;3;2;1;22;1;2;1;0;1
58;40000;1673,95541848;0;38326,04;97,7467865018;102,099456414;1;2;3;18;1;2;1;1;4;1;1;1;8;2;1;1;0;1
59;40000;13888,6763588;0;26111,32;163,547810081;10,0138216628;1;1;8;14;1;1;1;1;1;1;1;1;2;2;1;1;0;1
60;40000;2440,02496312;0;37559,98;203,677338523;203,726169422;10;1;4;18;1;1;1;1;2;4;7;1;11;2;4;1;0;2
61;40000;0;0;40000;78,5429943724;7,55522252533;6;1;4;15;1;1;1;1;2;2;2;1;2;1;1;2;0;1
62;40000;0;0;40000;226,164933034;223,08409961;5;1;5;7;1;1;7;1;2;10;1;0;4;1;1;1;0;1
63;40000;2860,14980374;7006,77675095;30133,07;0;129,155014664;1;2;2;15;1;1;8;1;3;1;2;0;26;2;1;1;0;1
64;40000;4622,54628722;1524,97873515;33852,47;0;239,947242363;1;1;6;10;1;1;2;1;1;4;1;0;33;1;2;1;0;3
65;40000;2062,20393899;0;37937,8;0;105,057824616;4;1;2;22;1;1;1;1;1;1;2;0;19;2;1;1;0;1
66;40000;4131,37555012;0;35868,62;0;205,910436984;40;1;2;6;1;1;1;1;3;4;1;0;3;2;3;3;0;2
67;40000;3044,56002056;0;36955,44;0;204,121801564;5;1;2;7;2;1;1;2;1;2;1;0;32;1;1;1;0;1
68;40000;4503,57621878;692,833608486;34803,59;303,705967591;0;43;1;3;3;1;1;1;2;1;12;1;0;11;2;1;1;0;1
69;40000;2264,01307704;931,019454035;36804,97;116,34636076;0;2;1;4;3;1;1;1;1;1;8;1;0;7;1;2;2;0;1
70;40000;3527,22774975;194,528726982;36278,24;220,548947533;0;2;1;2;2;2;1;2;1;1;26;2;0;9;2;1;1;0;1
71;40000;3131,02309705;101,937807968;36767,04;210,932031895;0;17;1;5;3;1;1;1;2;1;15;3;0;22;1;2;1;0;1
