"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"accidents";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
1;490000;19657,7340716;931,019454035;469411,25;860,055713533;15,4895682128;17;1;3;6;1;2;1;1;2;2;1;1;8;2;1;1;1;2
2;490000;52070,2399959;3643,357451;434286,4;2117,08672742;475,021084839;3;3;2;6;3;1;1;2;6;2;1;2;54;2;3;1;1;1
3;490000;37286,8123464;3575,96178215;449137,23;3045,24788821;940,946662447;89;2;4;5;6;1;2;1;4;1;1;1;27;1;4;1;1;3
4;490000;48270,7724823;3032,66454057;438696,56;1878,93570855;1638,28328931;37;1;2;9;4;2;2;4;6;1;1;1;117;1;9;1;1;1
5;490000;40807,7992714;19920,7473177;429271,45;4020,55115316;1018,91851157;8;1;2;65;2;1;1;2;1;2;3;1;104;1;6;1;1;1
6;490000;25627,7801341;7999,05766127;456373,16;1870,55524335;315,426333661;18;1;9;18;2;1;1;1;5;7;1;2;44;1;3;1;3;4
7;490000;12576,2867464;3993,51287804;473430,2;1187,35467656;284,765370653;94;2;6;22;2;2;1;1;4;26;1;1;20;2;4;1;1;2
8;490000;16614,5039378;42656,9616145;430728,53;2862,74588869;438,669806062;26;1;2;22;3;1;1;2;4;2;1;2;49;5;3;1;1;1
9;490000;20275,4296107;76840,9679452;392883,6;7542,02702913;2619,82570352;86;1;4;145;1;2;1;1;2;2;1;1;299;2;3;1;1;3
10;490000;26548,3640858;97589,3917861;365862,24;3688,36123994;1324,61149822;42;3;3;52;2;2;1;2;4;8;1;2;180;1;3;1;1;1
11;490000;9494,20993376;103737,673863;376768,12;11579,2262618;1491,15907908;90;1;4;205;3;1;1;2;7;10;1;2;264;2;4;1;1;5
12;490000;17859,4187665;81202,265223;390938,32;8517,47454503;1160,35222829;150;1;2;150;1;1;1;2;4;14;2;1;247;8;4;1;1;3
13;490000;40365,7625526;91903,0020066;357731,24;4876,4232087;464,436611423;71;1;2;46;1;2;1;1;2;14;1;1;145;8;3;1;1;2
14;490000;29502,0378673;93799,3967596;366698,57;7372,30428742;594,59013383;80;1;2;86;3;3;2;3;2;5;1;1;185;1;1;2;1;3
15;490000;17028,8926345;73298,7899375;399672,32;8470,05843384;1341,5401388;31;1;4;149;1;2;1;5;2;9;1;1;301;1;7;1;1;1
16;490000;19631,4086564;61780,1627639;408588,43;8838,48727334;997,665624022;46;2;6;186;2;4;1;5;14;5;1;1;316;2;1;1;1;1
17;490000;33763,3903453;56702,8182824;399533,79;6682,99443549;2095,99809393;3;1;6;160;9;1;1;1;4;32;1;1;226;1;6;1;1;1
18;490000;27929,2791418;57320,4748948;404750,25;7242,65127714;1880,87313716;3;1;4;151;5;2;1;1;2;19;1;1;146;1;11;4;1;3
19;490000;16276,3465342;25745,20157;447978,45;1537,22581485;181,944000824;96;3;2;15;5;10;1;1;7;46;1;1;32;1;5;1;1;2
20;490000;7162,79791277;1543,95501003;481293,25;563,635691209;586,989635983;134;2;11;5;2;8;1;2;2;6;6;1;3;3;6;2;1;2
21;490000;22983,3458577;140306,820663;326709,83;6832,79674943;1470,57606759;113;2;2;115;3;1;1;1;2;2;1;1;280;4;1;1;1;1
22;490000;30906,1017853;90617,6619257;368476,24;6702,30762614;918,520649874;129;1;8;126;5;1;1;6;8;18;1;2;256;3;4;1;2;3
23;490000;61152,1753761;30925,8733831;397921,95;8725,00703805;1486,43706459;13;2;2;159;3;1;1;2;2;3;3;2;215;5;7;6;1;2
24;490000;50298,1760269;21961,809516;417740,01;7795,18134671;200,610348428;9;3;5;76;1;1;1;2;8;3;2;1;237;1;8;2;3;1
25;490000;147532,118286;43690,7407091;298777,14;3806,95466113;1345,12351991;46;3;5;40;5;1;2;2;6;2;6;1;175;2;2;3;1;1
26;490000;180632,686432;21593,3861131;287773,93;639,980270834;1101,56794061;3;2;6;93;1;2;3;3;6;4;4;1;52;1;5;1;1;2
27;490000;60047,8635535;33807,1903184;396144,95;4903,25630466;2233,75340432;88;2;4;34;1;9;6;1;5;30;11;1;138;1;2;3;1;2
28;490000;49040,3455993;11071,5383642;429888,12;2128,03630047;817,343670718;173;2;27;9;3;14;4;1;8;84;2;1;30;2;3;1;1;1
29;490000;5628,6708879;10055,0880896;474316,24;1646,47686744;17,8590411585;174;1;20;120;2;4;1;2;2;42;2;1;14;1;6;2;2;1
30;490000;12687,2875999;126489,692962;350823,02;6812,87122447;545,361493438;136;1;17;166;1;2;2;1;4;1;1;1;316;1;3;1;1;1
31;490000;9755,5128471;163735,383965;316509,1;9555,70754345;1609,64171164;111;1;11;60;1;2;1;3;2;40;2;1;436;4;1;1;2;1
32;490000;24544,0793162;37105,0499005;428350,87;6330,28684768;525,85020476;77;1;12;222;2;1;1;1;6;44;33;1;193;4;2;2;1;2
33;490000;24168,9230527;55794,995863;410036,08;10262,0144832;1658,79955999;65;1;4;207;1;1;1;1;8;30;9;2;246;3;5;1;1;1
34;490000;24533,4854945;58046,3577229;407420,16;11171,2348339;411,597171533;12;2;4;23;3;1;1;1;3;26;10;1;275;3;1;2;1;1
35;490000;54623,1418341;14650,1307234;420726,73;3944,0513009;2131,26782941;1;1;15;10;4;1;6;3;2;16;3;1;156;2;3;2;1;6
36;490000;83697,498558;6723,90245235;399578,6;1433,84937677;1808,76451425;14;1;3;3;1;1;8;2;2;44;1;1;17;2;1;2;1;4
37;490000;45862,2264584;1615,79648298;442521,98;560,944704133;99,7089121394;10;1;3;61;5;0;7;1;5;2;1;1;109;1;1;2;1;2
38;490000;46230,5596608;372,754047524;443396,69;703,941452005;282,683578806;19;1;13;174;4;0;2;2;5;4;2;1;13;2;2;1;0;3
39;490000;202,19137428;402,343151953;489395,47;205,701350805;352,779678531;136;1;29;301;3;0;1;1;4;2;1;1;11;1;2;1;0;3
40;490000;16487,2582061;494,730011908;473018,01;450,448804488;447,668082262;124;4;17;169;5;0;1;3;3;12;1;1;90;3;2;2;0;1
41;490000;18809,6868545;119,104773777;471071,21;666,653899864;945,081150744;183;4;7;178;6;0;1;1;2;20;2;1;419;2;3;3;0;4
42;490000;17554,5678178;36014,4615054;436430,97;3989,54462699;837,178407761;64;5;9;162;10;0;1;1;11;61;13;1;514;2;3;1;0;2
43;490000;35716,9427432;66155,4088097;388127,65;9076,7920488;1598,33866486;14;1;7;133;1;0;3;2;10;124;19;2;367;1;7;1;0;2
44;490000;32210,5782283;77183,2143123;380606,21;13392,228703;1627,04272462;110;2;10;269;1;0;18;5;5;10;3;1;293;2;1;1;0;1
45;490000;25976,9293904;72543,7911085;391479,28;9747,73724688;1303,70447181;115;1;8;276;1;0;1;2;5;31;1;2;166;1;4;1;0;3
46;490000;42258,9734891;66920,7216722;380820,3;9471,21830973;635,004288429;110;1;25;156;2;0;3;1;2;49;1;1;214;3;12;2;0;4
47;490000;51112,0836639;38473,9090053;400414,01;6562,54692633;2385,12703293;95;1;37;23;1;0;4;1;2;13;3;1;357;4;10;1;0;5
48;490000;24180,0972801;58311,8365775;407508,07;5943,26575958;2901,51958786;7;1;35;8;1;0;8;1;2;13;17;1;322;1;4;1;0;5
49;490000;31467,2262039;84895,677072;373637,1;11677,6014252;3395,26984757;41;1;18;55;3;0;16;2;8;7;38;1;245;1;11;6;0;2
50;490000;30026,3239974;83460,4413284;376513,23;11540,2457186;3487,59863322;72;2;45;86;5;0;1;2;8;30;2;1;74;2;10;1;0;3
51;490000;43352,8153674;47317,3196027;399329,87;8544,91706393;2335,37774898;45;2;11;124;2;0;3;1;8;18;1;1;125;2;12;2;0;4
52;490000;72164,7200416;4214,18326621;413621,1;2010,21046548;1507,57651197;64;3;3;92;1;0;1;1;11;22;2;1;91;2;2;1;0;7
53;490000;12717,3767065;10793,1685104;466489,45;2045,19055433;641,103466931;111;1;17;152;2;0;1;2;3;26;1;0;127;1;2;1;0;1
54;490000;18560,7882998;20583,453204;450855,76;2916,06973155;1311,06219933;29;1;26;3;1;0;4;1;5;7;1;0;193;1;2;1;0;1
55;490000;6563,70714812;37913,2086583;445523,08;4349,92530624;829,904911756;40;2;30;21;9;0;3;3;7;4;1;0;454;1;2;1;0;5
56;490000;12166,4393612;34584,6256129;443248,94;5502,4513413;1446,51381054;41;3;28;79;10;0;1;1;10;6;2;0;254;0;1;1;0;3
57;490000;24630,8387804;44357,3466213;421011,81;5868,51433164;885,766528999;71;1;6;149;5;0;1;2;5;18;3;0;37;0;2;1;0;3
58;490000;34595,261882;73507,0864467;381897,65;7488,59694966;1636,15099026;79;1;19;214;5;0;1;1;11;3;1;0;76;0;4;2;0;2
59;490000;41908,22839;2130,74711762;445961,02;1171,33657044;2485,67119903;72;3;35;199;13;0;1;5;8;50;1;0;176;0;8;2;0;3
60;490000;0,32248162489;3,45276525105;489996,22;46,5395969168;12,0011210025;185;3;38;39;15;0;1;1;7;28;1;0;300;0;4;2;0;1
61;490000;19780,7857658;6576,48881592;463642,73;3231,21011222;1074,62154617;183;2;33;39;5;0;1;8;2;16;2;0;312;0;3;2;0;2
62;490000;52654,143837;85228,8923156;352116,96;5012,52155444;1876,65962505;17;4;40;46;4;0;0;1;3;10;0;0;352;0;3;1;0;3
63;490000;31501,7153775;93594,7183619;364903,57;8481,34366861;1400,78477541;32;2;28;3;5;0;0;2;4;26;0;0;132;0;2;1;0;5
64;490000;43986,3449156;103804,427072;342209,23;10211,5058005;2187,71869704;111;1;47;6;3;0;0;4;2;34;0;0;97;0;12;1;0;5
65;490000;42250,380095;47775,3210023;399974,3;10508,1267679;2553,53015722;147;1;38;6;1;0;0;2;6;34;0;0;84;0;11;1;0;5
66;490000;109701,657236;5185,47969;375112,86;5432,66068228;3322,98434435;131;2;22;66;5;0;0;2;8;22;0;0;62;0;11;3;0;2
67;490000;21350,9595396;21285,6377209;447363,4;5284,53795981;1038,39300848;225;4;7;28;6;0;0;1;8;1;0;0;93;0;16;1;0;1
68;490000;21031,3350098;48376,0590423;420592,61;2678,71279593;1098,09102936;208;2;7;16;2;0;0;1;2;11;0;0;100;0;16;2;0;7
69;490000;31884,3026097;3943,06589696;454172,63;939,108854744;1847,21533981;455;4;10;50;4;0;0;3;5;22;0;0;353;0;23;1;0;2
70;490000;24019,5176839;10057,1719529;455923,31;1916,17869694;916,76667838;174;2;29;100;1;0;0;1;10;12;0;0;167;0;7;1;0;4
71;490000;23720,3156747;15093,8131233;451185,87;2112,05356122;164,129008842;125;2;31;130;3;0;0;12;10;2;0;0;167;0;11;1;0;1
72;490000;98640,1787236;9139,14228033;382220,68;6345,78665864;1758,42272844;249;1;6;67;2;0;0;1;11;10;0;0;151;0;8;1;0;2
73;490000;86057,1461992;15353,5556979;388589,3;5268,53127676;1146,97115074;99;2;24;110;3;0;0;3;5;6;0;0;349;0;6;0;0;1
74;490000;5070,11029893;10255,8374877;474674,05;5034,25207515;719,92080385;105;1;44;158;5;0;0;4;8;2;0;0;345;0;1;0;0;1
